symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_check_sig_anchor_close_gt_ma_20,criteria_check_sig_anchor_close_pos,criteria_check_sig_anchor_close_vs_ma60,criteria_check_sig_anchor_macd_histogram,criteria_check_sig_anchor_net_flow,criteria_check_sig_anchor_rsi_14,criteria_check_sig_anchor_volume_ratio_20,criteria_check_sig_anchor_volume_ratio_5,criteria_check_sig_explosive_close_gt_ma_20,criteria_check_sig_explosive_close_pos,criteria_check_sig_explosive_net_flow,criteria_check_sig_explosive_price_change_pct,criteria_check_sig_explosive_volume_ratio_20,criteria_check_sig_explosive_volume_ratio_5,criteria_close,criteria_close_pos,criteria_close_vs_ma60,criteria_indicator,criteria_ma_20,criteria_ma_60,criteria_macd_histogram,criteria_net_flow,criteria_price_change_pct,criteria_rsi_14,criteria_selected_setup,criteria_sig_anchor,criteria_sig_explosive,criteria_signal_formula,criteria_strategy,criteria_threshold_sig_anchor_close_pos_min,criteria_threshold_sig_anchor_close_vs_ma60_min,criteria_threshold_sig_anchor_macd_histogram_min,criteria_threshold_sig_anchor_rsi_14_min,criteria_threshold_sig_anchor_volume_ratio_20_min,criteria_threshold_sig_anchor_volume_ratio_5_min,criteria_threshold_sig_explosive_close_pos_min,criteria_threshold_sig_explosive_price_change_pct_min,criteria_threshold_sig_explosive_volume_ratio_20_min,criteria_threshold_sig_explosive_volume_ratio_5_min,criteria_volume_ratio_20,criteria_volume_ratio_5
7732.TW,金興精密,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,38.95000076293945,0.9500007629394531,-0.010709886462511586,qizhang_signal,37.90500049591064,39.37166684468587,0.19467493276507652,1,0.025000020077354135,50.0,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.4011985823804305,5.208333333333333
7740.TW,熙特爾-創,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,176.0,1.0,0.1307420494699647,qizhang_signal,158.325,155.65,1.1695169298573758,1,0.10000000000000009,58.57142857142857,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.1233629923706725,3.125617791768277
7861.TWO,貝爾威勒,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,659.0,0.8260869565217391,0.29009103070247,qizhang_signal,528.875,510.81666666666666,10.709816602759881,1,0.13230240549828176,76.78571428571429,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,8.088195601466177,4.612310299976152
7846.TWO,德揚,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,42.24728012084961,1.0,0.070431856933455,qizhang_signal,40.156945037841794,39.4675100962321,0.1099445344417122,1,0.052439064256263324,60.28709668158412,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,6.140728601696368,11.158360328930975
7794.TWO,宏碁智新,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,47.54999923706055,1.0,-0.0017145595308850625,qizhang_signal,46.4274995803833,47.631666564941405,0.062166301006702895,1,0.04505492828704494,45.23809523809524,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.8654381545804055,44.71974004874086
8033.TW,雷虎,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,159.0,0.5882352941176471,0.11085235211923616,qizhang_signal,147.375,143.13333333333333,0.35317103502211444,1,0.07432432432432434,57.14285714285714,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.3053697786238025,4.447798038195933
8345.TWO,超秦,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,52.0,1.0,-0.012626984727260426,qizhang_signal,50.92500057220459,52.66500015258789,0.17970435465622525,1,0.02161097133880885,60.37735305845417,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.598923917268468,5.8731319887135545
9937.TW,全國,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,58.20000076293945,1.0,0.007385196237946978,qizhang_signal,57.79000015258789,57.773333358764646,0.010011465240753525,1,0.017482517249333807,47.169822184955,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.1617733125243856,4.30327868852459
8482.TW,商億-KY,2026-02-23,,,buy,buy,1.0,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,54.099998474121094,0.8064510174774533,0.10383755378985504,qizhang_signal,48.90499973297119,49.010833422342934,0.4355318593889854,1,0.07984032179294731,81.61433121204335,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.96589331746976,2.808142242678283
9918.TW,欣天然,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,40.54999923706055,0.9285722070844686,0.02252665766983397,qizhang_signal,39.64750003814697,39.65666707356771,0.08124568056270454,1,0.013749980926513583,69.99998728435861,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.4159446571294247,4.705773501110288
9931.TW,欣高,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,34.79999923706055,1.0,0.02260202467431416,qizhang_signal,34.08000030517578,34.03083349863688,0.051580928589379904,1,0.017543814641410194,60.0,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,5.676148275641085,4.696044718464544
